section,field,row_count,missing_count,missing_percent,observed_types,type_counts,examples
technical,MACD Line,956,0,0.0,integer|number,"{""integer"": 3, ""number"": 953}","[-533.566542112485, -417.2214364482807, -1.704869026047071]"
technical,Signal Line,956,0,0.0,number,"{""number"": 956}","[-554.2766933385003, -381.9593549734399, -1.87496553072144]"
technical,Histogram (EMA3),956,0,0.0,number,"{""number"": 956}","[3.631248920146173, -42.02071619278919, 0.04534833108280316]"
technical,Lines Position,956,0,0.0,string,"{""string"": 956}","[""Both Below Zero"", ""Both Above Zero"", ""Mixed""]"
technical,Wave Pattern,956,0,0.0,string,"{""string"": 956}","[""Mountain (Building)"", ""Valley (Recovering)"", ""Valley (Deepening)""]"
technical,MACD Cross,956,892,93.31,string,"{""string"": 64}","[""Golden Cross"", ""Dead Cross""]"
fundamental,Ticker,952,0,0.0,string,"{""string"": 952}","[""AADI"", ""AALI"", ""ABBA""]"
fundamental,Price,952,0,0.0,integer|number,"{""integer"": 951, ""number"": 1}","[7975, 6175, 36]"
fundamental,Price Change %,952,0,0.0,integer|number,"{""integer"": 200, ""number"": 752}","[0.0126984126984127, 0.02489626556016597, 0.02857142857142857]"
fundamental,IDX Sector,952,44,4.62,string,"{""string"": 908}","[""IDXENERGY"", ""IDXNONCYC"", ""IDXCYCLIC""]"
fundamental,Business Summary,952,46,4.83,string,"{""string"": 906}","[""PT Adaro Andalan Indonesia Tbk engages in the coal mining activities. The company is also involved in the logistics business which includes coal barging and transshipment, fuel oil transportation and management, river channel management and dredging, multipurpose terminal and stockpile management, stevedoring, and shipyard operations. In addition, it engages in construction, operation, and maintenance of drinking water supply system; mine water pumping and processing services; water treatment; water solution services; and lease of powerplant and supporting activities. Further, the company is involved in forestry business; port; manufacture, repair, and maintenance of sea transportation; trading, handling, and barging of coal; sea transportation; and investment activities, as well as provision of terminal handling and mining support services. PT Adaro Andalan Indonesia Tbk was founded in 2004 and is headquartered in Jakarta, Indonesia."", ""PT Astra Agro Lestari Tbk engages in the crude palm oil and related derivatives business in Indonesia. It also offers palm kernel and its derivatives. The company was founded in 1988 and is headquartered in Jakarta, Indonesia. PT Astra Agro Lestari Tbk is a subsidiary of PT Astra International Tbk."", ""PT Mahaka Media Tbk, through its subsidiaries, operates as a multiplatform media company in Indonesia and internationally. It operates through six segments: Newspaper Advertisement, Digital and Book; Media Buying; Event Organizer; Television Broadcasting; Rent; and IT Services. The company offers print and digital newspaper advertisements, book publishing, and digital content; media buying services; event organization for various corporate and commercial activities; television broadcasting services; rental services for commercial property and facilities; and information technology services, including digital marketing and software development. The company also engages in press publication, building management, agency creative content, software development, communication equipment trading, and delivery services, as well as book printing and general trading. Web3/NFTs projects and loyalty program services under the CardPlus name. In addition, it provides online services through republika.id, bukurepublika.id, ihram.co.id, and Republika.co.id. PT Mahaka Media Tbk was formerly known as PT Abdi Bangsa Tbk and changed its name to PT Mahaka Media Tbk in May 2010. PT Mahaka Media Tbk was founded in 1992 and is based in Jakarta, Indonesia.""]"
fundamental,Shares Outstanding,952,4,0.42,string,"{""string"": 948}","[""7.79 B"", ""1.92 B"", ""3.94 B""]"
fundamental,Free Float,952,58,6.09,string,"{""string"": 894}","[""2.90 B"", ""391.00 M"", ""1.52 B""]"
fundamental,Free Float (%),952,60,6.3,integer|number,"{""integer"": 1, ""number"": 891}","[0.3721712619516365, 0.2031500000784802, 0.3855700000321426]"
