section,field,row_count,missing_count,missing_percent,observed_types,type_counts,examples
technical,Previous Year VWAP (2025) · 3 σ,956,64,6.69,number,"{""number"": 892}","[9740.802907282246, 9683.470758798607, 114.6211652000904]"
technical,Previous Year VWAP (2025) · 2 σ,956,64,6.69,number,"{""number"": 892}","[8996.099019240948, 8845.984359431463, 93.93622226654318]"
technical,Previous Year VWAP (2025) · 1 σ,956,64,6.69,number,"{""number"": 892}","[8251.395131199652, 8008.497960064318, 73.25127933299598]"
technical,Previous Year VWAP (2025) · VWAP,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[7506.691243158355, 7171.011560697175, 52.56633639944877]"
technical,Previous Year VWAP (2025) · -1 σ,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[6761.987355117059, 6333.525161330032, 31.88139346590155]"
technical,Previous Year VWAP (2025) · -2 σ,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[6017.283467075761, 5496.038761962887, 11.19645053235434]"
technical,Previous Year VWAP (2025) · -3 σ,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[5272.579579034464, 4658.552362595743, -9.488492401192872]"
technical,Previous Year VWAP (2025) · Price σ,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[0.7295634755857703, -1.338543003855681, -0.8492330124324088]"
technical,Previous Year VWAP (2025) · Price σ Δ 1D,956,64,6.69,integer|number,"{""integer"": 177, ""number"": 715}","[0.1007111701769993, -0.1492561551978131, -0.04834434415471278]"
technical,Previous Year VWAP (2025) · VWAP Zone,956,63,6.59,string,"{""string"": 893}","[""Between +1 σ and VWAP"", ""Between -1 σ and -2 σ"", ""Between VWAP and -1 σ""]"
technical,Previous Year VWAP (2025) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[3, 4, 12]"
technical,EMA 25,956,0,0.0,integer|number,"{""integer"": 5, ""number"": 951}","[8536.912818789582, 6764.46941603293, 36.5049098319251]"
technical,EMA 25 %diff,956,0,0.0,integer|number,"{""integer"": 5, ""number"": 951}","[-5.703617093498914, -10.56209100952571, -4.122486095306]"
technical,EMA 25 Pos,956,0,0.0,string,"{""string"": 956}","[""Below"", ""Above""]"
technical,EMA 50,956,0,0.0,number,"{""number"": 956}","[9029.206266806952, 7140.10499263358, 39.11802453526042]"
technical,EMA 50 %diff,956,0,0.0,number,"{""number"": 956}","[-10.84487648052407, -15.2673524235041, -10.52717918193565]"
technical,EMA 50 Pos,956,0,0.0,string,"{""string"": 956}","[""Below"", ""Above""]"
technical,SMA 200,956,4,0.42,integer|number,"{""integer"": 87, ""number"": 865}","[8400.125, 7574.625, 50.255]"
technical,SMA 200 %diff,956,4,0.42,integer|number,"{""integer"": 77, ""number"": 875}","[-4.168092736715224, -20.12805914484216, -30.35518853845389]"
technical,SMA 200 Pos,956,4,0.42,string,"{""string"": 952}","[""Below"", ""Above""]"
technical,MA Zone,956,0,0.0,string,"{""string"": 956}","[""Above EMA10 | Below EMA20, EMA25, EMA50, SMA200"", ""Below All Available MA"", ""Above All Available MA""]"
technical,RSI 14,956,0,0.0,number,"{""number"": 956}","[39.67040726312847, 32.60565884568834, 44.9689134424751]"
technical,RSI 14 Δ 1D,956,0,0.0,integer|number,"{""integer"": 208, ""number"": 748}","[1.619906153373989, -1.827736657112467, -2.566911442428562]"
technical,RSI Status,956,0,0.0,string,"{""string"": 956}","[""Weak"", ""Neutral"", ""Oversold""]"
technical,RSI MA 14,956,0,0.0,number,"{""number"": 956}","[33.48544683517091, 29.59525954104915, 38.36357080848209]"
technical,RSI Pos,956,4,0.42,string,"{""string"": 952}","[""Above"", ""Below""]"
technical,RSI Cross,956,805,84.21,string,"{""string"": 151}","[""Dead"", ""Golden""]"
technical,Divergence Signal,956,756,79.08,string,"{""string"": 200}","[""Bearish"", ""Bullish""]"
technical,Divergence Start Date,956,756,79.08,string,"{""string"": 200}","[""12 Jan '26"", ""21 May '26"", ""02 Feb '26""]"
technical,Divergence Confirm Date,956,756,79.08,string,"{""string"": 200}","[""06 May '26"", ""08 Jun '26"", ""05 Jun '26""]"
technical,MACD Line,956,0,0.0,integer|number,"{""integer"": 3, ""number"": 953}","[-496.2019760274634, -416.6219350187685, -1.581980998584356]"
technical,Signal Line,956,0,0.0,number,"{""number"": 956}","[-542.661749876293, -388.8918709825057, -1.816368624294023]"
technical,Histogram (EMA3),956,0,0.0,number,"{""number"": 956}","[25.0455113844879, -34.87539011452598, 0.1398679783962351]"
technical,Lines Position,956,0,0.0,string,"{""string"": 956}","[""Both Below Zero"", ""Both Above Zero"", ""Mixed""]"
technical,Wave Pattern,956,0,0.0,string,"{""string"": 956}","[""Mountain (Building)"", ""Valley (Recovering)"", ""Mountain (Declining)""]"
technical,MACD Cross,956,867,90.69,string,"{""string"": 89}","[""Golden Cross"", ""Dead Cross""]"
fundamental,Ticker,952,0,0.0,string,"{""string"": 952}","[""AADI"", ""AALI"", ""ABBA""]"
fundamental,Price,952,0,0.0,integer|number,"{""integer"": 951, ""number"": 1}","[8050, 6050, 35]"
fundamental,Price Change %,952,0,0.0,integer|number,"{""integer"": 236, ""number"": 716}","[0.009404388714733543, -0.02024291497975709, -0.02777777777777778]"
fundamental,IDX Sector,952,44,4.62,string,"{""string"": 908}","[""IDXENERGY"", ""IDXNONCYC"", ""IDXCYCLIC""]"
fundamental,Business Summary,952,46,4.83,string,"{""string"": 906}","[""PT Adaro Andalan Indonesia Tbk engages in the coal mining activities. The company is also involved in the logistics business which includes coal barging and transshipment, fuel oil transportation and management, river channel management and dredging, multipurpose terminal and stockpile management, stevedoring, and shipyard operations. In addition, it engages in construction, operation, and maintenance of drinking water supply system; mine water pumping and processing services; water treatment; water solution services; and lease of powerplant and supporting activities. Further, the company is involved in forestry business; port; manufacture, repair, and maintenance of sea transportation; trading, handling, and barging of coal; sea transportation; and investment activities, as well as provision of terminal handling and mining support services. PT Adaro Andalan Indonesia Tbk was founded in 2004 and is headquartered in Jakarta, Indonesia."", ""PT Astra Agro Lestari Tbk engages in the crude palm oil and related derivatives business in Indonesia. It also offers palm kernel and its derivatives. The company was founded in 1988 and is headquartered in Jakarta, Indonesia. PT Astra Agro Lestari Tbk is a subsidiary of PT Astra International Tbk."", ""PT Mahaka Media Tbk, through its subsidiaries, operates as a multiplatform media company in Indonesia and internationally. It operates through six segments: Newspaper Advertisement, Digital and Book; Media Buying; Event Organizer; Television Broadcasting; Rent; and IT Services. The company offers print and digital newspaper advertisements, book publishing, and digital content; media buying services; event organization for various corporate and commercial activities; television broadcasting services; rental services for commercial property and facilities; and information technology services, including digital marketing and software development. The company also engages in press publication, building management, agency creative content, software development, communication equipment trading, and delivery services, as well as book printing and general trading. Web3/NFTs projects and loyalty program services under the CardPlus name. In addition, it provides online services through republika.id, bukurepublika.id, ihram.co.id, and Republika.co.id. PT Mahaka Media Tbk was formerly known as PT Abdi Bangsa Tbk and changed its name to PT Mahaka Media Tbk in May 2010. PT Mahaka Media Tbk was founded in 1992 and is based in Jakarta, Indonesia.""]"
fundamental,Shares Outstanding,952,4,0.42,string,"{""string"": 948}","[""7.79 B"", ""1.92 B"", ""3.94 B""]"
fundamental,Free Float,952,58,6.09,string,"{""string"": 894}","[""2.90 B"", ""391.00 M"", ""1.52 B""]"
fundamental,Free Float (%),952,60,6.3,integer|number,"{""integer"": 1, ""number"": 891}","[0.3721712619516365, 0.2031500000784802, 0.3855700000321426]"
